,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
89,1,2023-01-01 01:10:08,2023-01-01 01:30:01,N,1.0,210,216,1.0,12.4,47.1,1.0,1.5,0.0,0.0,,1.0,49.6,2.0,1.0,0.0
90,2,2023-01-01 01:32:17,2023-01-01 01:41:04,N,1.0,83,129,1.0,1.45,10.0,1.0,0.5,0.0,0.0,,1.0,12.5,2.0,1.0,0.0
91,2,2023-01-01 01:48:28,2023-01-01 02:16:18,N,1.0,129,166,1.0,7.52,36.6,1.0,0.5,2.0,6.55,,1.0,47.65,1.0,1.0,0.0
92,2,2023-01-01 01:30:43,2023-01-01 01:40:20,N,1.0,130,130,1.0,1.81,10.7,1.0,0.5,0.0,0.0,,1.0,13.2,2.0,1.0,0.0
93,2,2023-01-01 01:51:10,2023-01-01 02:00:28,N,1.0,130,135,1.0,2.45,13.5,1.0,0.5,0.0,0.0,,1.0,16.0,1.0,1.0,0.0
94,2,2023-01-01 01:09:36,2023-01-01 01:12:39,N,1.0,7,179,1.0,0.54,5.1,1.0,0.5,1.52,0.0,,1.0,9.12,1.0,1.0,0.0
95,2,2023-01-01 01:19:54,2023-01-01 01:23:25,N,1.0,7,179,1.0,0.47,5.8,1.0,0.5,2.49,0.0,,1.0,10.79,1.0,1.0,0.0
96,2,2023-01-01 01:31:10,2023-01-01 01:37:17,N,1.0,7,179,1.0,1.16,7.9,1.0,0.5,2.08,0.0,,1.0,12.48,1.0,1.0,0.0
97,2,2023-01-01 01:42:30,2023-01-01 02:26:39,N,1.0,179,226,1.0,15.39,66.0,1.0,0.5,0.0,0.0,,1.0,68.5,1.0,1.0,0.0
98,2,2023-01-01 00:57:51,2023-01-01 01:07:05,N,5.0,260,74,2.0,5.34,52.0,0.0,0.0,0.0,6.55,,1.0,59.55,1.0,2.0,0.0
99,2,2023-01-01 01:27:36,2023-01-01 01:27:43,N,5.0,168,168,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,1.0,21.0,1.0,2.0,0.0
